Site,Quadrat,Litter,Water,Dead,St_Dead,Bare_Ground,Moss ,APOCANNA,ASCINAR,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCOMOS,CARCRAWE,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,Carex Spp,CLAMARIS,Chara spp.,CORRACEM,CORSTOLO,CORSTOLO,Cornus sp,Cornus sp,DECVERTI,DECVERTI,DICIMPLI,DICIMPLI,ELEQUADR,ELEQUADR,Eleocharis Spp,ELOCANAD,EQUFLUVI,EQUVARIE,Equisetum Spp,fern,FRAVIRGI,HYDMORSU,HYPKALMI,IMPCAPEN,IRIVERSA,JUNBALTI,JUNBREVI,Lemma Sp.,LYSTHYRS,Lycopus Spp.,LYTSALIC,MENARVEN,NAJMINOR,NYMODORA,PHRAUSTR,POLAMPHI,POLAMPLI,POLPENSY,Polygonum Spp,PONCORDA,POTANSER,POTALPIN,POTGRAMI,POTILLIN,Potemogeton sp,PROPALUS,ROSASCIC,ROSPALUS,Rosa Spp,SAGLATIF,Sagitarius sp,SCHTABER,SCIACUTU,SCIMICRO,SCIPUNGE,SOLOHIOE,Solidago Spp.,SPAEURYC,STAPALUS,TOXRADIC,THEPALUS,TRIFRASE,TYPANGUS,TYPANGUS,TYPxGLAUC,TYPHA SPP,Unk Forb,Unk Gram,UTRINTER,UTRVULGA,Vetch sp,VITRIPAR,ZIZPALUS
UNM4,2,0,15,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UNM4,3,5,10,0,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
UNT1,1,0,5,0,10,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
UNT1,2,0,5,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
UNT1,3,0,1,0,7.5,0,0,0,0,2.5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
UNT2,1,0,7.5,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
UNT2,2,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
UNT2,3,0,2.5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
UNM5,1,33,15,0,0,0,0,0,0,5,0,0,2.5,0,0,0,0,0,2.5,15,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,2.5,0,0,0,0
UNM5,2,33,5,0,2.5,0,0,0,0,5,0.01,0,33,0,0,0,0,0,0,10,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM5,3,7.5,66,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
UNM6,1,0,66,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
UNM6,2,0,75,0,1,0,0,0,0,1,0,0,2.5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
UNM6,3,2.5,50,0,2.5,0,0,0,0,2.5,0,0,1,0,0,0,0,0,25,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
